,4-4,4-4-4,4-4-4-4,5-5,5-5-5,5-5-5-5,6-6,6-6-6,6-6-6-6
0,2.74,50.51,50.46,1.69,50.58,50.58,3.49,2.08,2.12
1,50.58,2.79,36.60,1.47,50.58,50.58,3.78,1.83,1.47
2,50.59,3.00,2.82,3.02,50.58,50.58,4.39,1.63,1.87
3,2.73,2.76,2.67,2.99,50.58,50.58,2.82,1.66,1.77
4,50.49,50.52,50.45,2.28,50.58,50.58,1.74,1.83,1.73
5,2.90,50.43,50.48,2.30,50.58,50.58,3.09,2.11,2.05
6,2.76,2.70,2.69,1.98,50.58,50.58,2.11,1.70,53.73
7,5.20,50.49,3.37,51.31,50.58,50.58,4.84,3.48,1.68
8,2.81,2.70,2.69,1.34,50.58,50.58,2.15,3.10,1.66
9,50.59,2.68,49.25,1.56,50.58,50.58,2.27,1.85,2.79
